Issue_Level,Delay_Level,Spend_Level,Contract Length
Low Issues,Low Delay,High Spend,Annual
Medium Issues,Low Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Quarterly
Low Issues,High Delay,Low Spend,Monthly
Medium Issues,Low Delay,High Spend,Quarterly
High Issues,High Delay,High Spend,Annual
Low Issues,Low Delay,Low Spend,Annual
High Issues,Low Delay,Low Spend,Annual
High Issues,Low Delay,Low Spend,Monthly
Low Issues,Low Delay,High Spend,Annual
Low Issues,Medium Delay,High Spend,Monthly
Low Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Annual
Medium Issues,Medium Delay,High Spend,Monthly
Low Issues,Medium Delay,High Spend,Annual
Low Issues,Medium Delay,High Spend,Monthly
High Issues,High Delay,High Spend,Annual
High Issues,Medium Delay,Low Spend,Quarterly
High Issues,High Delay,High Spend,Quarterly
High Issues,Low Delay,High Spend,Monthly
Low Issues,High Delay,High Spend,Quarterly
Low Issues,Medium Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
Low Issues,Medium Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
High Issues,Medium Delay,High Spend,Annual
High Issues,High Delay,Low Spend,Monthly
High Issues,Medium Delay,Low Spend,Monthly
Low Issues,High Delay,Low Spend,Annual
Low Issues,Low Delay,High Spend,Annual
Medium Issues,Low Delay,High Spend,Monthly
Medium Issues,High Delay,High Spend,Annual
Medium Issues,High Delay,High Spend,Quarterly
Medium Issues,Low Delay,High Spend,Quarterly
Medium Issues,Low Delay,High Spend,Annual
High Issues,High Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
High Issues,Low Delay,High Spend,Annual
Medium Issues,Low Delay,High Spend,Annual
Low Issues,High Delay,High Spend,Annual
High Issues,High Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Annual
High Issues,High Delay,Low Spend,Annual
High Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Annual
High Issues,High Delay,Low Spend,Annual
Medium Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Quarterly
Medium Issues,Low Delay,High Spend,Annual
High Issues,Medium Delay,High Spend,Monthly
Low Issues,Medium Delay,High Spend,Annual
High Issues,High Delay,Low Spend,Annual
Medium Issues,Medium Delay,High Spend,Quarterly
Low Issues,High Delay,High Spend,Monthly
Low Issues,Medium Delay,Low Spend,Annual
Low Issues,High Delay,High Spend,Annual
Medium Issues,Low Delay,High Spend,Quarterly
Medium Issues,High Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Annual
High Issues,Low Delay,Low Spend,Quarterly
Low Issues,Low Delay,High Spend,Quarterly
High Issues,Medium Delay,Low Spend,Monthly
Low Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Annual
High Issues,Low Delay,High Spend,Quarterly
High Issues,High Delay,High Spend,Quarterly
High Issues,Medium Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Quarterly
Medium Issues,Low Delay,High Spend,Annual
High Issues,High Delay,Low Spend,Annual
Low Issues,Medium Delay,Low Spend,Quarterly
High Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
High Issues,Low Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Annual
Low Issues,Low Delay,High Spend,Quarterly
High Issues,Low Delay,Low Spend,Annual
Medium Issues,Medium Delay,Low Spend,Annual
High Issues,Low Delay,High Spend,Quarterly
Medium Issues,Low Delay,Low Spend,Annual
Low Issues,High Delay,Low Spend,Monthly
Low Issues,Medium Delay,High Spend,Quarterly
Medium Issues,High Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Monthly
Low Issues,Medium Delay,High Spend,Quarterly
Medium Issues,High Delay,Low Spend,Quarterly
High Issues,Low Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Quarterly
Low Issues,Low Delay,High Spend,Annual
Low Issues,Medium Delay,High Spend,Quarterly
Medium Issues,Medium Delay,High Spend,Quarterly
Medium Issues,High Delay,High Spend,Annual
Medium Issues,Low Delay,High Spend,Annual
High Issues,High Delay,High Spend,Quarterly
Low Issues,Low Delay,Low Spend,Quarterly
Low Issues,Low Delay,High Spend,Annual
