Feature,Importance
Issue_Level_High Issues,0.27745447
Delay_Level_High Delay,0.14121515
Issue_Level_Low Issues,0.11789102
Spend_Level_High Spend,0.10554456
Contract Length_Monthly,0.1045245
Spend_Level_Low Spend,0.043290652
Issue_Level_Medium Issues,0.042440537
Gender_Male,0.022381648
LI_Level_High LI,0.02217771
LI_Level_Low LI,0.015803494
Age_Group_Young Adult,0.014947333
Delay_Level_Low Delay,0.014388694
Delay_Level_Medium Delay,0.013517998
Tenure_Level_High Tenure,0.012747716
Gender_Female,0.00870912
Tenure_Level_Medium Tenure,0.00839661
Age_Group_Old Adult,0.007135507
Age_Group_Old,0.006487105
UF_Level_Low UF,0.0064653074
UF_Level_High UF,0.0031969287
Age_Group_Very Young,0.002906024
Tenure_Level_Very Low Tenure,0.0027957347
Subscription Type_Basic,0.0018104016
Contract Length_Quarterly,0.0010130957
Tenure_Level_Low Tenure,0.0009219494
Contract Length_Annual,0.0006650133
Subscription Type_Standard,0.00062569376
Subscription Type_Premium,0.00054602214
